Clients number,Request proc. time,Receive-send gap,Client lifespan
1,0.66803074,3.31609357,1194.0
3,0.6474759766666667,3.1559362666666666,1242.0
5,0.637734338,4.088971948,1467.4
7,0.6239683828571428,5.566346038571428,1738.5714285714287
9,0.6678011611111111,7.732816233333334,2153.6666666666665
11,0.708850480909091,10.111774612727274,2612.818181818182
13,0.686005376923077,11.999074323076922,2983.0
15,0.6780567078052036,14.849070707138091,3582.266666666667
17,0.6980756970588236,20.427784927058823,4555.705882352941
19,0.7280002236842106,19.25982155736842,4476.210526315789
21,0.6882165323809524,21.152278444761905,4831.952380952381
23,0.6775237304347825,23.486894303043478,5295.565217391304
25,0.6759547243999999,25.6915628556,5731.68
27,0.681268574074074,28.09982641222222,6230.740740740741
29,0.6708499775862069,30.274805572758623,6650.482758620689
