Clients number,Request proc. time,Receive-send gap,Client lifespan
1,0.51762047,5.72781334,1359.0
3,0.5423947,6.288166546666667,1425.0
5,0.507803954,4.5290608,1332.0
7,0.5302590242857143,6.2385709828571425,1616.0
9,0.522566808888889,7.770123493333333,1984.6666666666667
11,0.5335481318181818,9.849659718181819,2374.7272727272725
13,0.5325617976923077,12.102795623846154,2807.5384615384614
15,0.5243559606666667,17.815869352666663,3947.0666666666666
17,0.5292594294117647,15.87507681882353,3601.823529411765
19,0.5304954636842105,18.165530027894736,4022.5789473684213
21,0.5070337152380953,20.20746486904762,4462.714285714285
23,0.5235403095652174,22.77823873608696,4975.521739130435
25,0.5298146748,25.4644950964,5431.0
27,0.48147921000000005,27.351829757037038,5814.592592592592
29,0.39493201448275866,29.280109627931036,6181.379310344828
