Clients number,Request proc. time,Receive-send gap,Client lifespan
1,0.6842182800000001,0.9363702199999999,974.0
3,0.70714688,0.9282465333333333,995.6666666666666
5,0.7065074499999999,0.950888424,1078.6
7,0.6554613128571429,1.08858805,1231.857142857143
9,0.7217686255555555,1.1948106877777778,1443.5555555555557
11,0.6084219881818181,1.01973046,1700.2727272727273
13,0.7239278784615385,1.207332506923077,2027.923076923077
15,0.6302131106666666,1.035720324,2325.2
17,0.63570973,1.0544095935294118,2590.294117647059
19,0.6350999189473684,1.0441501468421053,2950.7894736842104
21,0.624238140952381,1.0389868785714287,3223.8571428571427
23,0.6275750417391304,1.0360806339130435,3576.782608695652
25,0.6286273684,1.048938232,3838.0
27,0.6326848577777778,1.0360562551851853,4168.2962962962965
29,0.6125626217241379,1.0075281544827586,4471.586206896552
