Request number,Request proc. time,Receive-send gap,Client lifespan
10,0.7354645249999999,1.291449385,109.15
20,0.7312611699999999,1.2751198175000003,219.45
30,0.6760881433333333,1.20146872,317.55
40,0.7062247625,1.1919496087500001,423.5
50,0.695597038,1.1918518640000002,525.6
60,0.6953147683333333,1.2140462166666668,627.75
70,0.6975447871428572,1.2091806592857144,734.75
80,0.67803184875,1.214365934375,851.75
90,0.6743301474199623,1.1913197726553675,1017.65
100,0.692775142,1.2252809965,1095.05
110,0.691615489090909,1.231144805,1157.3
120,0.7144836166666667,1.3585023104166667,1301.5
130,0.6961130403846154,1.3122666880769231,1380.1
140,0.7121593850000001,1.3165755667857142,1524.95
150,0.7223041803333333,1.3054312246666666,1648.65
