Request number,Request proc. time,Receive-send gap,Client lifespan
10,0.770086805,3.4508777250000002,191.95
20,0.7448735700000001,3.6477318100000002,374.65
30,0.7518755066666666,3.647646753333333,556.75
40,0.7270595000000001,3.6908845787499995,933.55
50,0.710993195,3.6090689680000008,933.35
60,0.6902054658333333,4.1067944275,1250.3
70,0.6915480914285714,3.691792722857143,1316.0
80,0.6191397868750002,3.6539953950000004,1510.25
90,0.5367465138888888,3.6421739200000003,1682.25
100,0.373919501,3.4546153125,1858.6
110,0.37605605636363637,3.5691245336363635,2050.2
120,0.37351437708333335,3.5904499933333334,2255.5
130,0.40564739269230765,3.6017355949999996,2435.45
140,0.38689855107142856,3.524268781071428,2602.35
150,0.37178291833333327,3.5177250056666667,2835.85
