Request number,Request proc. time,Receive-send gap,Client lifespan
10,0.7544879499999999,1.0427764449999999,112.1
20,0.6884047249999999,0.940528675,209.85
30,0.7024124583333332,0.9173532550000001,312.8
40,0.70569223375,0.92848339375,415.9
50,0.629688354,0.8307071030000001,504.65
60,0.7098186541666667,0.9249262733333332,612.15
70,0.6970743442857142,0.9423016435714286,714.4
80,0.6940323574999999,0.98402731,808.7
90,0.698320295,0.9983108944444444,911.65
100,0.691923723,1.0109986305,1012.45
110,0.6678503322727273,1.0076176227272726,1121.5
120,0.6867612862500001,1.1062965720833333,1244.55
130,0.7002685200000001,1.1608145511538461,1342.0
140,0.6960089328571428,1.1610958278571428,1444.95
150,0.700194446,1.1667949436666665,1581.4
