Request number,Request proc. time,Receive-send gap,Client lifespan
10,0.7565618699999999,3.6015863349999995,139.15
20,0.73432403,3.3936365025000006,265.3
30,0.7562432366666666,3.269770566666667,392.05
40,0.74225101875,3.4184399624999995,536.75
50,0.7468455,3.3105343889999994,659.8
60,0.7395378325000002,3.3453181408333337,795.05
70,0.7458583985714287,3.374527025714286,935.05
80,0.7474253018749999,3.572890930625,1109.4
90,0.7520756744444445,3.738133748888889,1282.2
100,0.759425823,3.5049353489999993,1373.75
110,0.7595469354545455,3.4327225586363643,1469.45
120,0.7588419725000002,3.490422008333333,1624.5
130,0.7617370053846154,3.888457008846154,1856.75
140,0.7450119278571427,3.6142548007142854,1954.8
150,0.754771922,3.5966218053333336,2149.0
