Request number,Request proc. time,Receive-send gap,Client lifespan
10,0.47728625000000013,6.0190645,145.75
20,0.5127282200000001,5.833338955,286.35
30,0.498793215,4.78073265,394.3
40,0.5190708275,4.5969320499999995,514.05
50,0.4876660619999999,4.246238071,631.85
60,0.5973566058333334,4.509503485000001,786.8
70,0.5067342942857143,4.598854280714286,930.15
80,0.5208631112500001,4.4175515106250005,1028.3
90,0.5178341138888889,4.367359434444444,1152.7
100,0.42859471999999993,4.2283908294999994,1250.2
110,0.42596072181818184,4.2637774095454555,1389.4
120,0.38000884875,4.216767618333333,1523.65
130,0.3557805157692307,4.223305933461538,1628.45
140,0.3451177728571429,4.346068696071428,1855.95
150,0.35560070333333343,4.011276439333333,1837.25
